text,rating,label
barang sesuai pesan cepat,5,True
barang bagus harga murah,5,True
paket rapi mantap cepat sampe,5,True
puas dgn barang,5,True
responya mantap,5,True
seller top kirim cepat barang oke,5,True
kirim cepat seller top,5,True
produk sesuai spec web respon seller cepat thankyou,5,True
respon super cepat kirim cepat barang bagus sesuai deskripsi jual thx,5,True
barang mantap layan cepat,5,True
sippp sesuai pic dscrbs blum coba,5,True
sayang produk paking rapi hambur saran klo kirim paku tembak lakban kemas paku gabung dgn cecer kualitas barang bagus coba terima kasih,3,False
barang sesuai deskripsi respon proses cepat terima kasih,5,True
mantaaaaaaaappp,5,True
superrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrr,5,True
josss pokok langgan,5,True
fungsi normal,5,True
nilai reputasi jual nilai reputasi jual langkah langkah,5,True
barang sesuai deskripsi kirim cepat pake barang bagus mantap dahh pokok thanks,5,True
sesuai deskripsi,5,True
bagus packing pake bublewrap,5,True
barang sesuai deskripsi,5,True
cukuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuupp,5,True
barang sesuai pesan,5,True
thanksssssssssssssss,3,False
barang bagus sesuai info fast response,4,False
barang rim cepet,5,True
barang terima thanks,4,False
paket terima terima kasih,5,True
barang bagus kecewa order,5,True
barang terima terima kasih,4,False
barang terima,4,False
sip sampe menit oke sesuai pesan gambar trimakasih kerjasamanya,5,True
sesuai deskripsi barang,5,True
produk sesuai pesan blm dcoba,4,False
proses cepat mantap,5,True
sesuai deskripsi barang,5,True
bagus sesuai dgn deskripsi thnks,5,True
produk sesuai gambar deskripsi produk bagus harga bagus recommended produk,5,True
seller good produk mantap stars,5,True
produk bagus sesuai deskripsi packing rapi kirim cepat kurir telat thanks,5,True
mahmurah mantap barang sdh sampe thanks sukses,5,True
produk terima utuh segel moga awet,5,True
sesuai order kirim cepat respon cepat,4,False
respon proses jual cepat barang sdh terima stlh kualitas barang bagus recommended seller thanks,5,True
mantap sesuai deskripsi trimakasih moga barokah jual,5,True
makasih barang sesuai,5,True
kirim cepat fast respon barang sesuai trims,5,True
produk bagus kualitas fungsi,5,True
brg terima lengkap,5,True
great product great seller,5,True
steplesnya staples mollar tembak tumpuk rekomennya mending cari mollar staples merk mollar,4,False
sesuai pesan,4,False
produk fungsi dgn,5,True
produk sesuai deskripsi coba,5,True
barang sesuai skripsi layan cepat,5,True
terima terima kasih,5,True
pesan sesuai dgn gambar,2,False
terima pakai,5,True
packing rapi respon cepat recommended,4,False
barang terima thx,4,False
barang bagus kualitas sesuai harga,3,False
terima kasih,5,True
kirim cepat barang sesuai iklan fungsi,5,True
kwalitas bagus sesuai tawar respons cepat,5,True
sesuai harap terimakasih,5,True
barang bagus layan toko muas recomend,5,True
suuuuuuuuuuuuuuuuuuuuuudaaaaaaaah diiiiteeeerimaaaaa,4,False
kirim respon super cepat tpi barang sesuai gambar kuat tembus jok motor,2,False
produk sesuai deskripsi packing rapi rekomended,5,True
sesuai denggan harga,3,False
merk kenmaster,4,False
terimakasih barang,5,True
bagus kirim cepat,5,True
siiiiiiiippppppppp,5,True
barang udh sampe mksh,4,False
terimakasih barang,5,True
fast respon terbaiks,5,True
makasih barang,5,True
bagus top kirim cepat,4,False
thanksss,5,True
merk beda gpp ukrn,4,False
bintang dahhhhh,5,True
bagus,5,True
barang terima ukur sesuai deskripsi beda kirim fungsi,5,True
barang tks,5,True
bagus terimakasih,5,True
barang samapai bagus,5,True
mantafff sesuai,5,True
barang terima,5,True
kirim cepat kemas bagus,5,True
sesuai fast respon,5,True
matab good sesuai,5,True
barang kirim sesuai pesan,1,False
barang lumayan kuat good,5,True
murah riah,5,True
terima bos packing bagus,5,True
makasih barang sesuai gambar,5,True
pakai mantap thanks maaf kasi testi,5,True
harga murah lumayan kuat pesan kmrn nyampe thanks toko besi timur jaya tokopedia wahana,5,True
,4,False
terimakasih barang sdh terima,4,False
unit thanks,4,False
barang terima kasih,3,False
nyampe jam transaksi nyampe rumah mksh,5,True
good cepat packing,5,True
barang bagus sesuai skripsi,5,True
mantap,5,True
barang nyampe makasihhhhh,5,True
recomended,5,True
barang sesuai kirim cepat,5,True
mantab fast respone,5,True
